           1   55.5555555555556     
           2  1.680000000000000E-002
           3  0.000000000000000E+000
           4  0.000000000000000E+000
           5  2.093800000000000E-002
           6  4.982473841480013E-008
           7  5.603690554880359E-007
           8  0.000000000000000E+000
           9  0.000000000000000E+000
          10  0.000000000000000E+000
          11  0.000000000000000E+000
          12  0.000000000000000E+000
          13  1.696348905179514E-003
          14  5.078383608625188E-004
          15  1.873381273395797E-002
          16  0.191580000000000     
          17  0.173830000000000     
          18  0.000000000000000E+000
          19  5.700000000000000E-003
          20  3.700000000000000E-003
          21  4.823092262889182E-008
          22  4.545418068415251E-008
          23  0.000000000000000E+000
          24  0.000000000000000E+000
          25  0.000000000000000E+000
          26  0.000000000000000E+000
          27  0.000000000000000E+000
          28  0.000000000000000E+000
          29  0.000000000000000E+000
          30  0.000000000000000E+000
          31  0.000000000000000E+000
          32  0.000000000000000E+000
          33  0.000000000000000E+000
          34  0.000000000000000E+000
          35  0.000000000000000E+000
          36  0.000000000000000E+000
