        0.0000100   0.199995E-03    10    0.000000E+00   29
        0.0000103   0.199995E-03    10    0.000000E+00   29
     1   0.92832E-04   0.99391E+00   0.55556E+02   0.16800E-01   0.22656E-15   0.20330E-13   0.20938E-01   0.49316E-07   0.56025E-06   0.22630E-15   0.51756E-18  -0.25887E-18   0.00000E+00   0.20117E-13   0.16965E-02   0.50799E-03   0.18734E-01   0.19158E+00   0.17383E+00   0.11132E-15   0.57000E-02   0.37000E-02   0.10000E+01   0.94243E+00   0.21287E-15   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76108E-03   0.81177E+00   0.73976E+01   0.00000E+00
     2   0.11696E-03   0.99391E+00   0.55556E+02   0.16800E-01   0.50207E-13   0.24918E-11   0.20938E-01   0.49309E-07   0.56033E-06   0.50092E-13   0.11455E-15   0.66550E-19   0.00000E+00   0.24657E-11   0.16962E-02   0.50807E-03   0.18733E-01   0.19158E+00   0.17383E+00   0.12729E-13   0.57000E-02   0.37000E-02   0.10000E+01   0.94243E+00   0.26096E-13   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76108E-03   0.81177E+00   0.73976E+01   0.92832E-04
     3   0.13389E-03   0.99391E+00   0.55556E+02   0.16800E-01   0.22110E-11   0.60842E-10   0.20934E-01   0.49212E-07   0.56144E-06   0.22059E-11   0.50344E-14   0.21161E-19   0.00000E+00   0.60204E-10   0.16928E-02   0.50904E-03   0.18732E-01   0.19158E+00   0.17383E+00   0.29046E-12   0.57000E-02   0.37000E-02   0.10000E+01   0.94243E+00   0.63842E-12   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76108E-03   0.81177E+00   0.73985E+01   0.11696E-03
     4   0.14736E-03   0.99391E+00   0.55556E+02   0.16800E-01   0.49509E-10   0.76613E-09   0.20911E-01   0.48560E-07   0.56898E-06   0.49397E-10   0.11124E-12   0.82183E-17   0.00000E+00   0.75798E-09   0.16698E-02   0.51569E-03   0.18726E-01   0.19158E+00   0.17382E+00   0.34322E-11   0.57000E-02   0.36998E-02   0.10000E+01   0.94243E+00   0.81458E-11   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76105E-03   0.81176E+00   0.74043E+01   0.13389E-03
     5   0.15874E-03   0.99391E+00   0.55556E+02   0.16800E-01   0.66771E-09   0.59308E-08   0.20827E-01   0.45927E-07   0.60164E-06   0.66629E-09   0.14190E-11   0.84762E-15   0.00000E+00   0.58642E-08   0.15774E-02   0.54469E-03   0.18705E-01   0.19158E+00   0.17379E+00   0.25081E-10   0.57001E-02   0.36991E-02   0.10000E+01   0.94243E+00   0.66637E-10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76090E-03   0.81172E+00   0.74285E+01   0.14736E-03
     6   0.16869E-03   0.99391E+00   0.55556E+02   0.16800E-01   0.59053E-08   0.31035E-07   0.20637E-01   0.38911E-07   0.71029E-06   0.58946E-08   0.10634E-10   0.39166E-13   0.00000E+00   0.30624E-07   0.13332E-02   0.64155E-03   0.18663E-01   0.19161E+00   0.17367E+00   0.12494E-09   0.57010E-02   0.36966E-02   0.10000E+01   0.94243E+00   0.41077E-09   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.76045E-03   0.81158E+00   0.75005E+01   0.15874E-03
     7   0.17758E-03   0.99392E+00   0.55556E+02   0.16800E-01   0.36030E-07   0.11678E-06   0.20297E-01   0.26405E-07   0.10477E-05   0.35985E-07   0.44033E-10   0.89392E-12   0.00000E+00   0.11452E-06   0.89471E-03   0.93594E-03   0.18466E-01   0.19178E+00   0.17345E+00   0.45324E-09   0.57059E-02   0.36920E-02   0.10000E+01   0.94243E+00   0.22642E-08   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.75975E-03   0.81116E+00   0.76690E+01   0.16869E-03
     8   0.18566E-03   0.99394E+00   0.55556E+02   0.16798E-01   0.15719E-06   0.33021E-06   0.19311E-01   0.12811E-07   0.21643E-05   0.15709E-06   0.93106E-10   0.10808E-10   0.00000E+00   0.31725E-06   0.40173E-03   0.17911E-02   0.17118E-01   0.19205E+00   0.17338E+00   0.12619E-08   0.57141E-02   0.36903E-02   0.99995E+00   0.94238E+00   0.12947E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.75934E-03   0.80983E+00   0.79838E+01   0.17758E-03
     9   0.19310E-03   0.99400E+00   0.55556E+02   0.16793E-01   0.50591E-06   0.72208E-06   0.16405E-01   0.47090E-08   0.59072E-05   0.50573E-06   0.10976E-09   0.71275E-10   0.00000E+00   0.64958E-06   0.10891E-03   0.36216E-02   0.12674E-01   0.19180E+00   0.17388E+00   0.28240E-08   0.57065E-02   0.37011E-02   0.99975E+00   0.94220E+00   0.72424E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.75890E-03   0.80679E+00   0.84202E+01   0.18566E-03
    10   0.20000E-03   0.99409E+00   0.55556E+02   0.16810E-01   0.12390E-05   0.12332E-05   0.11760E-01   0.12881E-08   0.21650E-04   0.12387E-05   0.73162E-10   0.23525E-09   0.00000E+00   0.87432E-06   0.13399E-04   0.60163E-02   0.57299E-02   0.19065E+00   0.17482E+00   0.52853E-08   0.56723E-02   0.37210E-02   0.10010E+01   0.94336E+00   0.35863E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.75732E-03   0.80267E+00   0.89855E+01   0.19310E-03
        0.0000106   0.199995E-03    10    0.000000E+00   29
