./input_SLF.dat                                                                 
12.6d-4  initial radius im cm                                                      
600		Pressure in hpa                                                            
5,0	maxial shells                                                             
12  	outPut modus; 0: IVEA (log time), 1:EDB linear time, 2: input times         
2
     152879.000          0.800        288.150 0.0 0.0 0.0 0.0 0.0
     152928.000          0.800        288.150 0.0 0.0 0.0 0.0 0.0
     152977.000          0.800        288.150 0.0 0.0 0.0 0.0 0.0
     153026.000          0.800        288.150 0.0 0.0 0.0 0.0 0.0
     153074.000          0.799        288.150 0.0 0.0 0.0 0.0 0.0
     153123.000          0.799        288.150 0.0 0.0 0.0 0.0 0.0
     153173.000          0.799        288.150 0.0 0.0 0.0 0.0 0.0
     153221.000          0.799        288.150 0.0 0.0 0.0 0.0 0.0
     153270.000          0.798        288.150 0.0 0.0 0.0 0.0 0.0
     153319.000          0.798        288.150 0.0 0.0 0.0 0.0 0.0
     153368.000          0.798        288.150 0.0 0.0 0.0 0.0 0.0
     153416.000          0.797        288.150 0.0 0.0 0.0 0.0 0.0
     153466.000          0.797        288.150 0.0 0.0 0.0 0.0 0.0
     153515.000          0.797        288.150 0.0 0.0 0.0 0.0 0.0
     153564.000          0.797        288.150 0.0 0.0 0.0 0.0 0.0
     153613.000          0.796        288.150 0.0 0.0 0.0 0.0 0.0
     153661.000          0.796        288.150 0.0 0.0 0.0 0.0 0.0
     153710.000          0.796        288.150 0.0 0.0 0.0 0.0 0.0
     153759.000          0.795        288.150 0.0 0.0 0.0 0.0 0.0
     153808.000          0.795        288.150 0.0 0.0 0.0 0.0 0.0
     153857.000          0.795        288.150 0.0 0.0 0.0 0.0 0.0
     153906.000          0.795        288.150 0.0 0.0 0.0 0.0 0.0
     153955.000          0.794        288.150 0.0 0.0 0.0 0.0 0.0
     154004.000          0.794        288.150 0.0 0.0 0.0 0.0 0.0
     154052.000          0.794        288.150 0.0 0.0 0.0 0.0 0.0
     154102.000          0.793        288.150 0.0 0.0 0.0 0.0 0.0
     154151.000          0.793        288.150 0.0 0.0 0.0 0.0 0.0
     154200.000          0.793        288.150 0.0 0.0 0.0 0.0 0.0
     154248.000          0.792        288.150 0.0 0.0 0.0 0.0 0.0
     154297.000          0.792        288.150 0.0 0.0 0.0 0.0 0.0
     154347.000          0.792        288.150 0.0 0.0 0.0 0.0 0.0
     154395.000          0.792        288.150 0.0 0.0 0.0 0.0 0.0
     154444.000          0.791        288.150 0.0 0.0 0.0 0.0 0.0
     154493.000          0.791        288.150 0.0 0.0 0.0 0.0 0.0
     154542.000          0.791        288.150 0.0 0.0 0.0 0.0 0.0
     154591.000          0.790        288.150 0.0 0.0 0.0 0.0 0.0
     154640.000          0.790        288.150 0.0 0.0 0.0 0.0 0.0
     154688.000          0.790        288.150 0.0 0.0 0.0 0.0 0.0
     154738.000          0.789        288.150 0.0 0.0 0.0 0.0 0.0
     154787.000          0.789        288.150 0.0 0.0 0.0 0.0 0.0
     154835.000          0.789        288.150 0.0 0.0 0.0 0.0 0.0
     154884.000          0.789        288.150 0.0 0.0 0.0 0.0 0.0
     154934.000          0.788        288.150 0.0 0.0 0.0 0.0 0.0
     154982.000          0.788        288.150 0.0 0.0 0.0 0.0 0.0
     155031.000          0.788        288.150 0.0 0.0 0.0 0.0 0.0
     155080.000          0.787        288.150 0.0 0.0 0.0 0.0 0.0
     155129.000          0.787        288.150 0.0 0.0 0.0 0.0 0.0
     155178.000          0.787        288.150 0.0 0.0 0.0 0.0 0.0
     155227.000          0.786        288.150 0.0 0.0 0.0 0.0 0.0
     155276.000          0.786        288.150 0.0 0.0 0.0 0.0 0.0
     155324.000          0.786        288.150 0.0 0.0 0.0 0.0 0.0
     155374.000          0.785        288.150 0.0 0.0 0.0 0.0 0.0
     155422.000          0.785        288.150 0.0 0.0 0.0 0.0 0.0
     155472.000          0.785        288.150 0.0 0.0 0.0 0.0 0.0
